Date,positives,negatives,neutral
00-02-24,1,2,0
00-03-31,0,0,0
00-05-26,2,3,0
00-09-30,2,2,1
01-01-22,2,2,2
01-03-31,0,0,0
01-06-30,0,0,0
01-09-30,6,0,0
02-03-31,4,0,0
02-04-25,3,0,0
02-09-30,3,1,1
03-02-27,15,10,3
03-03-31,3,1,1
03-05-31,4,1,1
03-09-30,10,1,1
04-02-26,13,5,4
04-03-31,7,0,2
04-06-30,4,2,1
04-09-30,5,6,4
05-01-01,6,2,1
05-02-25,14,5,2
05-06-30,5,1,1
05-12-31,3,0,1
06-02-27,14,6,2
06-03-31,4,1,1
06-05-31,8,2,1
06-09-30,8,2,1
07-02-23,14,11,4
07-03-31,2,3,2
07-06-30,3,3,2
07-09-30,4,2,1
08-02-28,24,13,4
08-03-30,6,3,1
08-06-29,6,1,1
08-08-14,2,5,1
09-01-01,1,5,1
09-02-26,19,13,3
09-06-28,4,5,1
09-09-27,9,6,1
10-02-25,21,15,3
10-03-28,2,4,1
10-06-27,10,3,1
10-10-21,13,7,1
11-02-24,18,12,0
11-03-27,1,3,1
11-07-27,7,3,2
11-10-27,9,4,1
12-02-23,7,7,0
12-03-25,5,2,1
12-07-25,5,4,1
12-10-25,10,4,1
13-02-28,11,11,0
13-04-24,3,4,1
13-07-24,7,14,1
13-10-24,5,24,1
14-02-14,12,18,0
14-04-23,0,4,1
14-07-23,4,3,1
14-10-23,4,8,1
15-02-09,9,14,0
15-04-22,3,2,1
15-07-22,7,3,1
15-10-22,8,2,1
16-02-24,11,15,3
16-04-27,4,1,2
16-07-20,6,1,2
16-10-27,7,1,2
17-02-09,5,9,3
17-04-26,1,2,3
17-07-20,4,1,3
17-10-26,4,1,3
18-02-06,6,6,2
18-04-25,2,1,3
18-07-24,4,1,2
18-10-25,8,1,1
19-02-08,11,6,2
19-04-24,4,1,2
19-07-23,8,1,2
19-10-24,7,1,2
20-02-07,11,7,1
20-04-22,8,13,2
20-07-21,9,20,1
20-10-22,11,20,2
21-01-28,13,17,2
21-04-21,4,6,4
21-07-26,18,6,2
21-10-26,15,11,2
22-01-25,12,14,6
22-04-20,2,13,3
22-07-19,7,35,2
22-10-18,8,32,2
23-01-26,14,37,4
23-04-18,6,24,3
23-07-18,8,20,3
23-10-17,10,23,3
24-04-23,3,22,3
24-07-23,6,24,4
24-10-22,5,22,4
25-01-28,16,36,1
25-04-22,3,18,2
25-07-22,2,18,2
25-10-21,8,18,2
95-03-15,3,3,0
95-05-10,3,1,0
95-05-26,4,1,0
96-03-31,2,1,0
96-05-28,2,1,0
96-08-01,1,2,0
97-02-27,11,2,1
97-03-31,1,0,0
97-10-31,0,2,0
97-12-31,3,1,0
98-03-23,0,0,1
98-09-30,0,0,1
99-02-25,1,2,3
99-04-22,1,1,0
99-06-09,1,1,0
99-09-30,0,1,0
